House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
20,Brown Way,Steven,Kirby,28,Son,Divorced,Male,Town planner,None,Catholic
20,Brown Way,Rosemary,Kirby,25,Daughter,Divorced,Female,"Presenter, broadcasting",None,None
20,Brown Way,Dale,Kirby,23,Son,Divorced,Male,"Journalist, magazine",None,None
20,Brown Way,Bradley,Kirby,0,Son,NA,Male,Child,None,NA
21,Brown Way,Angela,Jones,52,Head,Married,Female,Air cabin crew,None,Christian
21,Brown Way,Jonathan,Jones,56,Husband,Married,Male,Estate agent,None,None
21,Brown Way,Ronald,Jones,15,Son,NA,Male,Student,None,NA
21,Brown Way,Paul,Jones,12,Son,NA,Male,Student,None,NA
21,Brown Way,Paula,Jones,11,Daughter,NA,Female,Student,None,NA
21,Brown Way,Jayne,Jones,3,Daughter,NA,Female,Child,None,NA
21,Brown Way,Donald,Taylor,21,Lodger,Single,Male,University Student,None,Christian
22,Brown Way,Kate,Tomlinson,84,Head,Married,Female,Unemployed,None,Christian
22,Brown Way,Nicholas,Tomlinson,84,Husband,Married,Male,"Retired Development worker, international aid",Mental Disability,Christian
22,Brown Way,Adrian,Tomlinson,47,Son,Single,Male,Travel agency manager,None,None
22,Brown Way,Katherine,Tomlinson,47,Daughter,Single,Female,Scientific laboratory technician,None,Christian
22,Brown Way,Elliott,Tomlinson,44,Son,Divorced,M,Unemployed,None,None
23,Brown Way,Megan,Morrison,43,Head,Single,Female,Metallurgist,None,Methodist
23,Brown Way,Kyle,Morrison,9,Son,NA,Male,Student,None,NA
23,Brown Way,Alice,Morrison,9,Daughter,NA,Female,Student,None,NA
23,Brown Way,Joseph,Morrison,6,Son,NA,Male,Student,None,NA
23,Brown Way,Darren,Morrison,5,Son,NA,Male,Student,None,NA
24,Brown Way,Peter,Hutchinson,66,Head,Single,Male,Tourist information centre manager,None,Christian
24,Brown Way,Beth,Hutchinson-Shaw,66,Partner,Single,Female,Exhibition designer,None,Christian
24,Brown Way,Christopher,Hutchinson-Shaw,29,Son,Single,M,Colour technologist,None,Christian
24,Brown Way,Harriet,Hutchinson-Shaw,28,Daughter,Single,Female,Medical illustrator,None,Christian
24,Brown Way,Anne,Hutchinson-Shaw,23,Daughter,Single,Female,Speech and language therapist,None,None
24,Brown Way,Sylvia,Hutchinson-Shaw,0,Daughter,NA,Female,Child,None,NA
25,Brown Way,Heather,Skinner,49,Head,Married,Female,Press sub,None,None
25,Brown Way,Max,Skinner,45,Husband,Married,m,Midwife,None,None
25,Brown Way,Peter,Skinner,13,Son,NA,Male,Student,None,NA
25,Brown Way,David,Skinner,9,Son,NA,Male,Student,None,NA
25,Brown Way,Gavin,Skinner,7,Son,NA,Male,Student,None,NA
26,Brown Way,Elizabeth,Cox,40,Head,Single,Female,Primary school teacher,None,Methodist
26,Brown Way,Oliver,Bowen,41,Partner,Single,Male,Publishing copy,None,None
26,Brown Way,Gerald,Cox,20,Son,Single,Male,University Student,None,Methodist
26,Brown Way,Gail,Cox,20,Daughter,Single,Female,University Student,None,Methodist
26,Brown Way,Toby,Cox,9,Son,NA,Male,Student,None,NA
27,Brown Way,Harriet,Lawson,37,Head,Married,Female,Unemployed,None,None
27,Brown Way,Leonard,Lawson,36,Husband,Married,Male,Applications developer,None,None
27,Brown Way,Zoe,Lawson,11,Daughter,NA,Female,Student,None,NA
27,Brown Way,Roy,Lawson,9,Son,NA,Male,Student,None,NA
28,Brown Way,Gemma,Fletcher,32,Head,Single,Female,Comptroller,None,None
1,Oaktree Island,Duncan,Barker,30,Head,Married,Male,Network engineer,None,None
1,Oaktree Island,Alice,Barker,29,Wife,Married,Female,"Sound technician, broadcasting/film/video",None,None
1,Oaktree Island,James,Barker,1,Son,NA,Male,Child,None,NA
1,Oaktree Island,Debra,Byrne,62,Lodger,Single,Female,Travel agency manager,None,Christian
2,Oaktree Island,Chloe,Law,72,Head,Married,Female,Retired Maintenance engineer,None,Christian
2,Oaktree Island,Dean,Law,71,Husband,Married,Male,Retired Geophysicist/field seismologist,None,Christian
3,Oaktree Island,Victoria,Moss,69,Head,Widowed,Female,Retired Database administrator,None,None
4,Oaktree Island,Rachel,Butler,49,Head,Married,Female,Psychiatric nurse,None,None
4,Oaktree Island,Maurice,Butler,51,Husband,Married,Male,Hotel manager,None,Christian
4,Oaktree Island,Jacob,Butler,20,Son,Single,Male,University Student,None,None
4,Oaktree Island,Stacey,Butler,16,Daughter,NA,Female,Student,None,NA
5,Oaktree Island,Brett,Jennings,39,Head,Single,Male,Toxicologist,None,Muslim
5,Oaktree Island,Hannah,Holden,38,Partner,Single,Female,Environmental education officer,None,Muslim
6,Oaktree Island,Hugh,Buckley,70,Head,Divorced,m,Unemployed,None,Christian
6,Oaktree Island,Alison,Buckley,49,Daughter,Single,Female,Catering manager,None,None
6,Oaktree Island,Marcus,Buckley,47,Son,Divorced,Male,Database administrator,None,Christian
1,Macdonald Road,Wendy,Ryan,72,Head,Single,Female,Retired Applications developer,None,Methodist
1,Macdonald Road,Mary,Ryan,40,Daughter,Divorced,Female,Unemployed,None,Methodist
2,Macdonald Road,Helen,Evans,42,Head,Divorced,Female,"Therapist, music",None,Catholic
2,Macdonald Road,Denise,Evans,13,Daughter,NA,Female,Student,None,NA
2,Macdonald Road,Brian,Evans,10,Son,NA,Male,Student,None,NA
3,Macdonald Road,Lynne,Carr,39,Head,Single,Female,Unemployed,None,Methodist
3,Macdonald Road,Lydia,Carr,10,Daughter,NA,Female,Student,None,NA
4,Macdonald Road,Kim,Harrison,74,Head,Married,Female,Retired Community pharmacist,None,Christian
4,Macdonald Road,Arthur,Harrison,76,Husband,Married,Male,"Retired Engineer, communications",None,Christian
4,Macdonald Road,Clare,Brooks,28,Granddaughter,Single,Female,"Scientist, audiological",None,Christian
4,Macdonald Road,Kayleigh,Brooks,24,Granddaughter,Single,Female,"Accountant, chartered management",None,None
5,Macdonald Road,Aaron,Hodgson,53,Head,Single,Male,Clinical cytogeneticist,None,Christian
6,Macdonald Road,Lisa,Bradshaw,57,Head,Single,Female,"Surveyor, rural practice",None,None
6,Macdonald Road,Henry,Bradshaw,33,Son,Single,Male,Air cabin crew,None,None
6,Macdonald Road,Ian,Bradshaw,29,Son,Single,Male,Horticultural therapist,None,None
6,Macdonald Road,Ricky,Bradshaw,28,Son,Single,Male,Control and instrumentation engineer,None,None
7,Macdonald Road,Stephen,Lewis,68,Head,Married,Male,Retired Armed forces logistics/support/administrative officer,None,None
7,Macdonald Road,Jemma,Lewis,66,Wife,Married,Female,"Engineer, production",None,None
8,Macdonald Road,Kathleen,Jones,29,Head,Married,Female,Copy,None,Methodist
8,Macdonald Road,Neil,Jones,30,Husband,Married,Male,Public relations account executive,None,None
8,Macdonald Road,Stacey,Jones,7,Daughter,NA,Female,Student,None,NA
9,Macdonald Road,Andrea,Wyatt,43,Head,Single,Female,Forest/woodland manager,None,None
9,Macdonald Road,Vincent,Ellis,25,None,Single,Male,Administrator,None,None
9,Macdonald Road,Brenda,Barry,59,None,Single,Female,Charity officer,None,Christian
10,Macdonald Road,Melissa,Smith,42,Head,Divorced,Female,Field seismologist,None,Catholic
11,Macdonald Road,Nicole,Davidson,63,Head,Married,Female,"Lighting technician, broadcasting/film/video",None,Christian
11,Macdonald Road,Vincent,Davidson,63,Husband,Married,Male,"Engineer, site",None,Christian
12,Macdonald Road,Joseph,Hunt,74,Head,Married,Male,Retired Geographical information systems officer,None,None
12,Macdonald Road,Lauren,Hunt,73,Wife,Married,Female,Retired Town planner,None,None
12,Macdonald Road,Philip,Hunt,21,Grandson,Single,Male,University Student,None,None
12,Macdonald Road,Jay,Baker,17,Grandson,NA,Male,Student,None,NA
12,Macdonald Road,Maria,Robinson,15,Granddaughter,NA,Female,Student,None,NA
1,July Tunnel,Carl,Davies,56,Head,Single,Male,"Engineer, water",None,None
1,July Tunnel,Rebecca,Harris,54,Partner,Single,Female,Broadcast engineer,None,None
2,July Tunnel,Alison,Yates,51,Head,Single,Female,Unemployed,None,Methodist
2,July Tunnel,Justin,Yates,14,Son,NA,Male,Student,None,NA
2,July Tunnel,Amelia,Yates,12,Daughter,NA,Female,Student,None,NA
3,July Tunnel,Lauren,Simpson,68,Head,Married,F,Retired Audiological scientist,None,Christian
3,July Tunnel,Terence,Simpson,68,Husband,Married,Male,Retired Charity officer,None,Christian
4,July Tunnel,Geoffrey,Edwards,55,Head,Married,Male,Town planner,Physical Disability,Methodist
4,July Tunnel,Mary,Edwards,51,Wife,Married,Female,Publishing copy,None,Methodist
5,July Tunnel,Wendy,Mann,44,Head,Divorced,Female,Recruitment consultant,None,Christian
5,July Tunnel,Carly,Mann,8,Daughter,NA,Female,Student,None,NA
6,July Tunnel,Brandon,Higgins,26,Head,Single,Male,Chartered loss adjuster,None,None
7,July Tunnel,Hollie,Walker,63,Head,Married,Female,"Designer, fashion/clothing",None,Christian
7,July Tunnel,Sean,Walker,70,Husband,Married,Male,Retired Consulting civil engineer,None,Christian
8,July Tunnel,Amanda,Williams,64,Head,Single,Female,"Investment banker, corporate",None,Christian
8,July Tunnel,Louise,Martin,61,None,Single,Female,Chartered certified accountant,None,Christian
9,July Tunnel,Michelle,Smith,19,Head,Single,Female,University Student,None,None
9,July Tunnel,Julia,Moore,39,None,Single,Female,Telecommunications researcher,None,None
10,July Tunnel,Phillip,Hill,39,Head,Single,Male,Trade mark attorney,None,Christian
10,July Tunnel,Samuel,Hill,11,Son,NA,Male,Student,None,NA
1,Harding Lane,Douglas,Wilson,36,Head,Single,Male,Armed forces training and education officer,None,Christian
1,Harding Lane,Keith,O'Connor,58,None,Single,Male,Electronics engineer,None,Christian
2,Harding Lane,Norman,Cunningham,71,Head,Widowed,M,Retired Wellsite geologist,None,Methodist
3,Harding Lane,Kathleen,Morgan,62,Head,Married,Female,Unemployed,None,Christian
3,Harding Lane,Lewis,Morgan,60,Husband,Married,Male,"Engineer, technical sales",None,None
4,Harding Lane,Jayne,Rose,78,Head,Divorced,Female,Retired Tax inspector,None,Methodist
4,Harding Lane,Sophie,Barker,8,Granddaughter,NA,Female,Student,None,NA
5,Harding Lane,Christian,Holden,24,Head,Married,Male,Actor,None,Sikh
5,Harding Lane,Clare,Holden,23,Wife,Married,Female,Clinical embryologist,None,Sikh
5,Harding Lane,Russell,Hill-Holden,6,Son,NA,Male,Student,None,NA
6,Harding Lane,Barbara,Hall,73,Head,Widowed,Female,Retired Health physicist,None,None
7,Harding Lane,Naomi,Barry,30,Head,Married,Female,Secondary school teacher,None,None
7,Harding Lane,Daniel,Barry,35,Husband,Married,Male,"Administrator, sports",None,None
8,Harding Lane,Ashleigh,Cameron,46,Head,Single,Female,Unemployed,None,Methodist
8,Harding Lane,Hayley,Cameron,19,Daughter,Divorced,Female,University Student,None,Methodist
8,Harding Lane,Alex,Cameron,15,Son,NA,Male,Student,None,NA
9,Harding Lane,Abigail,Barrett,34,Head,Married,Female,Exercise physiologist,None,None
9,Harding Lane,James,Barrett,39,Husband,Married,Male,Arts development officer,None,Christian
9,Harding Lane,Steven,Barrett,4,Son,NA,Male,Child,None,NA
9,Harding Lane,Dylan,Barrett,0,Son,NA,Male,Child,None,NA
9,Harding Lane,Paula,Freeman,42,Lodger,Divorced,Female,Ecologist,None,None
10,Harding Lane,Martyn,Hall,20,Head,Single,Male,University Student,None,None
10,Harding Lane,Charlotte,Edwards,19,Partner,Single,Female,University Student,None,None
11,Harding Lane,Steven,Lynch,43,Head,Single,Male,Unemployed,None,Christian
11,Harding Lane,Cheryl,Lynch,59,Cousin,Single,Female,Geophysicist/field seismologist,None,None
12,Harding Lane,Keith,Owens,36,Head,Single,Male,"Producer, television/film/video",None,None
12,Harding Lane,Annette,Parkes,35,Partner,Single,Female,Podiatrist,None,None
13,Harding Lane,Nicole,Brown,69,Head,Widowed,Female,Unemployed,None,Catholic
13,Harding Lane,Patrick,Brown,30,Son,Single,Male,Conference centre manager,None,None
14,Harding Lane,Sean,Smith,62,Head,Single,Male,Broadcast presenter,None,Christian
14,Harding Lane,Lesley,Carter,58,Partner,Single,Female,"Runner, broadcasting/film/video",None,None
15,Harding Lane,Dawn,Campbell,42,Head,Single,Female,Unemployed,Physical Disability,Catholic
15,Harding Lane,Eric,Fitzgerald-Campbell,11,Son,NA,Male,Student,None,NA
15,Harding Lane,Lisa,Fitzgerald-Campbell,6,Daughter,NA,Female,Student,None,NA
16,Harding Lane,Samuel,Smith,73,Head,Divorced,m,"Retired Administrator, education",None,Christian
16,Harding Lane,Chelsea,Owens,7,Granddaughter,NA,Female,Student,None,NA
17,Harding Lane,Yvonne,Cook,38,Head,Divorced,Female,"Engineer, materials",None,None
17,Harding Lane,Diana,Cook,13,Daughter,NA,Female,Student,None,NA
17,Harding Lane,Jake,Cook,10,Son,NA,Male,Student,None,NA
18,Harding Lane,Susan,Thomas,25,Head,Married,Female,Waste management officer,None,None
18,Harding Lane,Robert,Thomas,26,Husband,Married,m,Conference centre manager,None,None
18,Harding Lane,Lorraine,Thomas,3,Daughter,NA,Female,Child,None,NA
19,Harding Lane,Liam,Wood,40,Head,Married,Male,Clinical cytogeneticist,None,Methodist
19,Harding Lane,Melanie,Wood,37,Wife,Married,Female,Politician's assistant,None,None
20,Harding Lane,Patrick,Kaur,32,Head,Married,m,Analytical chemist,None,Catholic
20,Harding Lane,Lynn,Kaur,27,Wife,Married,Female,Call centre manager,None,Catholic
21,Harding Lane,Kate,Green,75,Head,Married,Female,Retired Banker,None,Christian
21,Harding Lane,Luke,Green,75,Husband,Married,Male,Retired Dietitian,None,Christian
21,Harding Lane,Glen,Green,44,Son,Divorced,Male,Unemployed,None,Christian
21,Harding Lane,Jenna,Green,40,Daughter,Single,Female,"Development worker, international aid",None,Christian
21,Harding Lane,Gail,Green,37,Daughter,Single,Female,Logistics and distribution manager,None,None
22,Harding Lane,Lewis,Allen,41,Head,Single,Male,Research scientist (life sciences),None,None
22,Harding Lane,Patricia,Watkins,31,Partner,Single,Female,Warden/ranger,None,None
23,Harding Lane,Eleanor,Gray,44,Head,Single,Female,"Therapist, drama",None,None
24,Harding Lane,Jennifer,Vincent,47,Head,Divorced,Female,"Geologist, wellsite",None,None
24,Harding Lane,Hollie,Vincent,17,Daughter,NA,Female,Student,None,NA
1,Juniper Neck,Joel,Shepherd,36,Head,Divorced,Male,"Psychologist, forensic",None,Sikh
1,Juniper Neck,Marion,Shepherd,4,Daughter,NA,Female,Child,None,NA
1,Juniper Neck,Wendy,Shepherd,1,Daughter,NA,Female,Child,None,NA
2,Juniper Neck,Michelle,Mitchell,64,Head,Married,Female,Mental health nurse,None,Methodist
2,Juniper Neck,Joel,Mitchell,62,Husband,Married,Male,Unemployed,None,Methodist
2,Juniper Neck,Chelsea,Bruce-Mitchell,41,Daughter,Divorced,Female,Architect,None,None
3,Juniper Neck,Claire,Kelly,50,Head,Single,Female,"Therapist, sports",None,None
3,Juniper Neck,Lawrence,Evans,52,Partner,Single,Male,"Surveyor, planning and development",None,None
3,Juniper Neck,Adrian,Kelly,17,Adopted Son,NA,Male,Student,None,NA
4,Juniper Neck,Janice,Brown,44,Head,Married,Female,Illustrator,None,Methodist
4,Juniper Neck,Oliver,Brown,53,Husband,Married,Male,Ranger/warden,None,Methodist
4,Juniper Neck,Marilyn,Brown,26,Daughter,Single,Female,"Engineer, building services",None,Methodist
4,Juniper Neck,Molly,Brown,24,Daughter,Single,Female,Petroleum engineer,None,None
4,Juniper Neck,Ruth,Brown,10,Daughter,NA,Female,Student,None,NA
5,Juniper Neck,Jessica,Macdonald,68,Head,Married,Female,Retired Historic buildings inspector/conservation officer,None,Christian
5,Juniper Neck,Oliver,Macdonald,72,Husband,Married,Male,"Retired Solicitor, Scotland",None,None
5,Juniper Neck,Paul,Duncan,33,Son,Single,Male,Clinical molecular geneticist,None,None
6,Juniper Neck,Kerry,Ali,30,Head,Married,Female,Systems developer,None,Methodist
6,Juniper Neck,Bruce,Ali,35,Husband,Married,Male,Arts administrator,None,Methodist
6,Juniper Neck,Derek,Ali,10,Son,NA,Male,Student,None,NA
7,Juniper Neck,Callum,Ellis,62,Head,Married,Male,Dance movement psychotherapist,None,Christian
7,Juniper Neck,Stanley,Ellis,59,Husband,Married,Male,"Administrator, local government",None,None
7,Juniper Neck,Jack,Thomas,10,Grandson,NA,Male,Student,None,NA
7,Juniper Neck,Carole,Thomas,8,Granddaughter,NA,Female,Student,None,NA
7,Juniper Neck,Jayne,Thomas,7,Granddaughter,NA,Female,Student,None,NA
8,Juniper Neck,Sarah,Hughes,66,Head,Single,Female,Chemical engineer,None,Christian
8,Juniper Neck,Joseph,Hughes,24,Son,Divorced,Male,Operational researcher,None,Christian
8,Juniper Neck,Arthur,Hughes,24,Son,Divorced,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
9,Juniper Neck,Paula,Hill,26,Head,Married,Female,"Education officer, community",None,None
9,Juniper Neck,Mathew,Hill,25,Husband,Married,Male,Unemployed,None,None
9,Juniper Neck,Jennifer,Hill,3,Daughter,NA,Female,Child,None,NA
10,Juniper Neck,Justin,Holden,48,Head,Divorced,Male,"Production designer, theatre/television/film",None,None
11,Juniper Neck,Ruth,Goddard,58,Head,Divorced,Female,Media buyer,None,Catholic
12,Juniper Neck,Howard,Cooper,25,Head,Single,Male,Pharmacologist,None,Catholic
12,Juniper Neck,Kieran,Morgan,54,None,Single,Male,Magazine features editor,None,Catholic
12,Juniper Neck,Aaron,Smith,39,None,Single,Male,Professor Emeritus,None,Christian
12,Juniper Neck,Conor,Richards,64,None,Single,Male,"Psychologist, forensic",None,Christian
12,Juniper Neck,Scott,Harding,47,None,Single,Male,Sub,None,Methodist
13,Juniper Neck,Louis,Butler-Anderson,74.31823574,Head,Single,Male,Retired Pharmacologist,None,Christian
13,Juniper Neck,Naomi,Hall,70.31823574,Partner,Single,Female,Retired Visual merchandiser,None,Christian
13,Juniper Neck,Sophie,Butler-Anderson,12,Daughter,NA,Female,Student,None,NA
14,Juniper Neck,Hayley,Wong,51,Head,Married,Female,Insurance claims handler,None,None
14,Juniper Neck,Julian,Wong,51,Husband,Married,Male,"Civil engineer, consulting",None,None
14,Juniper Neck,Denise,Wong,27,Daughter,Widowed,Female,"Scientist, product/process development",None,None
15,Juniper Neck,Sophie,Booth,46,Head,Single,Female,"Scientist, research (physical sciences)",None,Catholic
15,Juniper Neck,Angela,Burton,49,None,Single,Female,"Psychologist, counselling",None,Christian
15,Juniper Neck,Bradley,Edwards,34,None,Single,Male,"Programmer, multimedia",None,None
16,Juniper Neck,Margaret,Tyler,48,Head,Divorced,Female,"Administrator, sports",None,None
1,Innersplit Drive,Stanley,Warren,42,Head,Single,Male,Dancer,None,None
2,Innersplit Drive,Leanne,Wood,35,Head,Divorced,Female,Interpreter,None,None
2,Innersplit Drive,Donna,Wood,18,Daughter,Single,Female,Student,None,None
3,Innersplit Drive,Shirley,Herbert,44,Head,Single,Female,Air traffic controller,None,None
3,Innersplit Drive,Craig,Davies,47,Partner,Single,Male,Research scientist (maths),None,None
3,Innersplit Drive,William,Herbert,17,Son,NA,Male,Student,None,NA
3,Innersplit Drive,Brett,Herbert,13,Son,NA,Male,Student,None,NA
3,Innersplit Drive,Oliver,Herbert,10,Son,NA,Male,Student,None,NA
4,Innersplit Drive,Jasmine,Jones-Richardson,50,Head,Divorced,Female,Careers information officer,None,Methodist
4,Innersplit Drive,Leonard,Jones-Richardson,11,Son,NA,Male,Student,None,NA
4,Innersplit Drive,Trevor,Jones-Richardson,7,Son,NA,Male,Student,None,NA
4,Innersplit Drive,David,Jones-Richardson,3,Son,NA,Male,Child,None,NA
4,Innersplit Drive,Liam,Jones-Richardson,3,Son,NA,male,Child,None,NA
5,Innersplit Drive,Jayne,Hale,41,Head,Married,Female,Television/film/video producer,None,Catholic
5,Innersplit Drive,Graeme,Hale,42,Husband,Married,Male,Sport and exercise psychologist,None,Catholic
5,Innersplit Drive,Roy,Miles,53,Lodger,Single,Male,Secretary/administrator,None,None
6,Innersplit Drive,Harriet,Davis,37,Head,Divorced,Female,Pensions consultant,None,None
7,Innersplit Drive,Joe,Barry,69,Head,W,Male,Unemployed,None,Christian
7,Innersplit Drive,Max,Barry,38,Son,Divorced,Male,Arboriculturist,None,Christian
8,Innersplit Drive,Kim,Hudson,57,Head,Single,Female,Unemployed,None,None
8,Innersplit Drive,Abbie,Hudson,16,Daughter,NA,Female,Student,None,NA
9,Innersplit Drive,Amber,Giles,56,Head,Single,Female,Gaffer,None,Agnostic
9,Innersplit Drive,Hannah,Giles,27,Daughter,Single,Female,Quality manager,None,None
10,Innersplit Drive,Timothy,Cook,77,Head,Married,Male,Retired Energy engineer,None,None
10,Innersplit Drive,Dorothy,Cook,75,Wife,Married,Female,Retired Textile designer,None,None
11,Innersplit Drive,Sheila,Clarke,79,Head,Married,Female,Retired Armed forces operational officer,None,None
11,Innersplit Drive,Nathan,Clarke,81,Husband,Married,Male,Retired Architect,None,None
12,Innersplit Drive,Molly,Fry,40,Head,Married,Female,Industrial/product designer,None,Christian
12,Innersplit Drive,Justin,Fry,43,Husband,Married,Male,Dispensing optician,None,Christian
12,Innersplit Drive,Dorothy,Fry,16,Daughter,NA,Female,Student,None,NA
13,Innersplit Drive,Kimberley,Stephenson,37,Head,Married,Female,Gaffer,None,Catholic
13,Innersplit Drive,Jordan,Stephenson,38,Husband,Married,Male,Minerals surveyor,None,Christian
13,Innersplit Drive,Kieran,Stephenson,6,Son,NA,Male,Student,None,NA
13,Innersplit Drive,Scott,Stephenson,2,Son,NA,Male,Child,None,NA
13,Innersplit Drive,Alexander,Stephenson,0,Son,NA,Male,Child,None,NA
14,Innersplit Drive,Jodie,Cook,38,Head,Single,Female,Textile designer,None,Catholic
14,Innersplit Drive,Duncan,Wallace,35,Partner,Single,Male,Commercial/residential surveyor,None,None
15,Innersplit Drive,Jacob,White,65,Head,Married,Male,Bonds trader,None,None
15,Innersplit Drive,Julia,White,62,Wife,Married,Female,"Optician, dispensing",None,None
16,Innersplit Drive,Nicole,Lyons,43,Head,Single,Female,Fashion designer,None,Christian
16,Innersplit Drive,Thomas,White,45,Partner,Single,Male,Academic librarian,None,None
16,Innersplit Drive,Jade,Lyons,15,Daughter,NA,Female,Student,None,NA
16,Innersplit Drive,Samantha,Lyons,12,Daughter,NA,Female,Student,None,NA
16,Innersplit Drive,Marie,Lyons,8,Daughter,NA,Female,Student,None,NA
17,Innersplit Drive,Brenda,Ahmed,54,Head,Single,Female,"Nurse, adult",None,Catholic
17,Innersplit Drive,Gavin,Smith,14,Adopted Grandson,NA,Male,Student,None,NA
18,Innersplit Drive,Sylvia,Whitehead,32,Head,Single,Female,Teaching laboratory technician,None,None
18,Innersplit Drive,Derek,Mason,30,Partner,Single,Male,Unemployed,None,None
18,Innersplit Drive,Julie,Cooke,52,Sibling,Widowed,Female,Control and instrumentation engineer,None,None
18,Innersplit Drive,Ann,Scott,60,Lodger,Divorced,Female,Clinical biochemist,None,None
18,Innersplit Drive,Joan,Evans,19,Lodger,Single,Female,University Student,None,None
18,Innersplit Drive,Harry,Goodwin,33,Lodger,Single,Male,"Engineer, water",None,None
19,Innersplit Drive,Ian,Simpson,48,Head,Single,Male,Unemployed,None,None
19,Innersplit Drive,Josephine,Simpson,18,Daughter,Single,Female,Student,None,None
20,Innersplit Drive,Kayleigh,Knight,55,Head,Divorced,Female,Unemployed,None,Christian
20,Innersplit Drive,Georgina,Knight,33,Daughter,Divorced,Female,Legal secretary,None,None
21,Innersplit Drive,Samuel,Johnson,71,Head,Married,Male,Retired Air traffic controller,None,Methodist
21,Innersplit Drive,Marion,Johnson,71,Wife,Married,Female,Retired Drilling engineer,None,Methodist
22,Innersplit Drive,Suzanne,Jones,42,Head,Married,Female,Commercial horticulturist,None,Christian
22,Innersplit Drive,Jack,Jones,47,Husband,Married,Male,Operational investment banker,None,Christian
22,Innersplit Drive,Linda,Jones,10,Daughter,NA,Female,Student,None,NA
23,Innersplit Drive,Lynne,Evans,37,Head,Single,Female,Dancer,None,Catholic
23,Innersplit Drive,Steven,Lee,39,Partner,Single,Male,Trade mark attorney,None,Catholic
23,Innersplit Drive,Roy,White,36,Lodger,Single,Male,"Engineer, chemical",None,Christian
24,Innersplit Drive,Alan,Butler,51,Head,Married,Male,Acupuncturist,None,Christian
24,Innersplit Drive,Sharon,Butler,53,Wife,Married,Female,"Librarian, public",None,Christian
25,Innersplit Drive,Gordon,Hobbs,71,Head,Widowed,Male,"Retired Nurse, mental health",None,Christian
25,Innersplit Drive,Ruth,Hobbs,14,Granddaughter,NA,Female,Student,None,NA
26,Innersplit Drive,Lisa,Murray,22,Head,Married,Female,University Student,None,Muslim
26,Innersplit Drive,Laura,Murray,24,Wife,Married,Female,"Radiographer, therapeutic",None,Muslim
27,Innersplit Drive,Kathleen,McLean,57,Head,Married,Female,Airline pilot,None,Christian
27,Innersplit Drive,Alan,McLean,59,Husband,Married,Male,"Surveyor, rural practice",None,Christian
27,Innersplit Drive,Lucy,Jones-McLean,20,Daughter,Single,Female,University Student,None,Christian
27,Innersplit Drive,Nicole,Jones-McLean,16,Daughter,NA,Female,Student,None,NA
27,Innersplit Drive,Matthew,Jones-McLean,16,Son,NA,Male,Student,None,NA
28,Innersplit Drive,Alice,Bennett,52,Head,Married,Female,Outdoor activities/education manager,None,Methodist
28,Innersplit Drive,Joel,Bennett,52,Husband,Married,Male,Immigration officer,None,None
28,Innersplit Drive,Sylvia,Bennett,23,Daughter,Single,Female,Energy engineer,None,Methodist
28,Innersplit Drive,Natasha,Bennett,22,Daughter,Single,Female,"Engineer, biomedical",None,None
28,Innersplit Drive,William,Bennett,7,Son,NA,m,Student,None,NA
29,Innersplit Drive,Jenna,Wells,31,Head,Single,Female,"Engineer, agricultural",None,Christian
29,Innersplit Drive,Helen,Wells,3,Step-Daughter,NA,Female,Child,None,NA
30,Innersplit Drive,Jodie,Stephenson,56,Head,Married,Female,Secondary school teacher,None,Methodist
30,Innersplit Drive,Wayne,Stephenson,56,Husband,Married,Male,Trade mark attorney,None,Methodist
30,Innersplit Drive,Emily,Stephenson,17,Daughter,NA,Female,Student,None,NA
30,Innersplit Drive,Joshua,Stephenson,14,Son,NA,Male,Student,None,NA
30,Innersplit Drive,Bruce,Stephenson,10,Son,NA,Male,Student,None,NA
31,Innersplit Drive,Marie,Curtis-Lynch,36,Head,Divorced,Female,Unemployed,None,Catholic
31,Innersplit Drive,Angela,Curtis-Lynch,11,Daughter,NA,Female,Student,None,NA
31,Innersplit Drive,Alex,Curtis-Lynch,6,Son,NA,Male,Student,None,NA
31,Innersplit Drive,Declan,Curtis-Lynch,4,Son,NA,Male,Child,None,NA
32,Innersplit Drive,Jemma,Ali,69,Head,Widowed,Female,Retired Product manager,None,Christian
32,Innersplit Drive,Harriet,Ali,41,Daughter,Divorced,Female,"Surveyor, planning and development",None,Christian
33,Innersplit Drive,Helen,O'Brien,69,Head,Widowed,Female,Retired Airline pilot,None,Christian
34,Innersplit Drive,Vanessa,Roberts,54,Head,Single,Female,IT sales professional,None,Christian
35,Innersplit Drive,Carly,Bibi,72,Head,Widowed,female,"Retired Pharmacist, community",None,Christian
35,Innersplit Drive,Ashleigh,Bibi,41,Daughter,Single,Female,Jewellery designer,None,Christian
36,Innersplit Drive,Charlie,George,94,Head,Widowed,Male,Retired Financial planner,None,Christian
37,Innersplit Drive,Bethan,Johnson,44,Head,Divorced,Female,Insurance underwriter,None,Christian
37,Innersplit Drive,Karl,Johnson,10,Son,NA,Male,Student,None,NA
37,Innersplit Drive,Leslie,Johnson,9,Son,NA,Male,Student,None,NA
38,Innersplit Drive,Bethany,Ahmed,101,Head,Married,Female,Retired Environmental health practitioner,None,Christian
